Unnamed: 0,id,sentence,subject_entity,object_entity,class
102.0,재즈___,마일즈 데이비스는 역사상 가장 잘 팔린 재즈 앨범 Kind of Blue(1959년)로 이 개념을 더 위대한 재즈 세계에 소개했다.,"{'start': 0, 'text': '마일즈 데이비스', 'type': 'per'}","{'start': 28, 'text': 'Kind of Blue', 'type': 'art'}",per:made
840.0,관현악단_text32,"그는 기존의 관현악 악기 뿐 아니라, 베이스 트럼펫과 '니벨룽의 반지'에서 연주되는 바그너 튜바와 같은 새로운 악기를 만들었다.","{'start': 47, 'text': '바그너 튜바', 'type': ''}","{'start': 21, 'text': '베이스 트럼펫', 'type': ''}",no:relation
172.0,재즈___,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'start': 40, 'text': '조지 루이스', 'type': ''}","{'start': 70, 'text': '투르크 머피', 'type': ''}",no:relation
423.0,르네상스 음악________,"16세기의 전반, 르네상스 음악의 작곡가 가운데에서 첫째로 꼽을 수 있는 사람은 빌라르트(A. Willaert, 1480/90-1562)이다.","{'start': 45, 'text': '빌라르트', 'type': 'per'}","{'start': 10, 'text': '르네상스 음악', 'type': 'poh'}",per:per_included
1035.0,팝 음악_text,"팝 음악의 일반적인 형태는 노래이며, 보통 5분 이하의 길이로, 쓰이는 악기는 오케스트라에서 가수의 목소리까지 다양하다.","{'start': 44, 'text': '오케스트라', 'type': ''}","{'start': 15, 'text': '노래', 'type': ''}",no:relation
26.0,오보에_text,이 때문에 고전 시대에서 오보에의 주음역대는 바로크 시대 작품에서 볼 수 있는 것보다 다소 넓어진 편이었다.,"{'start': 25, 'text': '바로크 시대', 'type': ''}","{'start': 14, 'text': '오보에', 'type': ''}",no:relation
993.0,피아노_text,그랜드형이 피아노 본래의 형태이며 이 형태는 쳄발로의 형태에서 생긴 것으로 음량도 크다.,"{'start': 25, 'text': '쳄발로', 'type': ''}","{'start': 42, 'text': '음량', 'type': ''}",no:relation
295.0,고전주의 음악_text57,"크리스토프 빌리발트 글루크는 가수만능의 이탈리아 오페라에 대항해 음악은 시를 따라야 한다고 주장하고 가수가 기교를 과시하거나 필요 이상의 음악적 장식을 하는 것을 배제하며 표현력이 풍부한 레치타티보나 오케스트라, 또는 코러스 등의 표현력 증대 등으로 단순하고 자연스런 표현 속에서 극적 효과를 높이기 위한 시도를 했다.","{'start': 22, 'text': '이탈리아 오페라', 'type': ''}","{'start': 0, 'text': '크리스토프 빌리발트 글루크', 'type': ''}",no:relation
915.0,바이올린_text,"4줄은 줄베개(nut)를 통하여 주로 흑단으로 만든 지판(指板, finger board) 위를 지나며 줄받침의 위를 거쳐 줄걸이판(tailpiece)에 4줄을 맨다.","{'start': 29, 'text': '지판(指板, finger board)', 'type': 'poh'}","{'start': 21, 'text': '흑단', 'type': 'poh'}",poh:poh_parts
875.0,클라리넷____________19,마우스피스는 매우 딱딱한 경질고무(하드러버)로 만든다.,"{'start': 0, 'text': '마우스피스', 'type': 'poh'}","{'start': 14, 'text': '경질고무', 'type': 'poh'}",poh:poh_parts
